Region2,Season,emmean,SE,df,asymp.LCL,asymp.UCL,.group
Central,Wet Season,14.16113275778785,1.0792735501395505,Inf,12.045795470047647,16.276470045528054,B
Confluence,Wet Season,13.642254439293092,1.0792782578733557,Inf,11.526907924564181,15.757600954022003,A
NorthDelta,Wet Season,13.390691171782032,1.085108812525204,Inf,11.263916979925607,15.517465363638458,A
South,Wet Season,14.020580174367,1.0803916351417844,Inf,11.903051480290763,16.138108868443236,AB
SuisunBay,Wet Season,13.860612243973657,1.0863792219064556,Inf,11.731348095484357,15.989876392462957,AB
SuisunMarsh,Wet Season,14.283149996328456,1.0830408291919364,Inf,12.160428977325864,16.405871015331048,B
Central,Dry Season,23.247090995299484,1.27576181696715,Inf,20.74664378119249,25.74753820940648,E
Confluence,Dry Season,21.762507004245006,1.2757672342435995,Inf,19.262049172471276,24.262964836018735,D
NorthDelta,Dry Season,21.781214566722184,1.2809538908633065,Inf,19.27059107477365,24.291838058670717,D
South,Dry Season,22.70619299911586,1.2767532851837256,Inf,20.20380254301256,25.20858345521916,E
SuisunBay,Dry Season,20.909428570341692,1.2820440355284002,Inf,18.39666843411164,23.422188706571745,C
SuisunMarsh,Dry Season,22.046303480200827,1.279098451677337,Inf,19.5393165822323,24.553290378169354,D
