fWY,emmean,SE,df,asymp.LCL,asymp.UCL,.group,the.emmean,pri.fac,lcmpl,rcmpl
2011,15.897,0.8,Inf,14.33,17.464,A,15.897037923453736,2011,NA,16.006555504069006
2010,16.277,0.8,Inf,14.709,17.845,B,16.276849149853795,2010,16.149170737724443,16.40524182326768
2012,16.329,0.799,Inf,14.762,17.896,B,16.329457292624163,2012,16.222884000831332,16.435796037768828
2017,16.56,0.8,Inf,14.993,18.127,C,16.56027203986998,2017,16.452997246098736,16.667366319608682
2019,16.596,0.8,Inf,15.029,18.163,C,16.59607654625486,2019,16.486415256495278,16.705528379155165
2018,16.86,0.8,Inf,15.293,18.427,D,16.860439852625454,2018,16.75296133837889,16.967700218149155
2013,17.038,0.8,Inf,15.471,18.605,D,17.037804874033352,2013,16.930457395898685,17.144879351502404
2014,17.322,0.799,Inf,15.755,18.889,E,17.321871822538718,2014,17.21528125133234,17.428186855719126
2016,17.418,0.799,Inf,15.851,18.985,E,17.41772723450272,2016,17.311079203334145,17.524099826022493
2015,18.185,0.8,Inf,16.618,19.752,F,18.184613171767225,2015,18.07726194316448,NA
