contrast,estimate,SE,df,z.ratio,p.value,Sig
NorthDelta - SacRiver,-0.4133786096090025,0.3965742667973914,Inf,-1.0423737600205825,0.903609411670112,no
NorthDelta - South,-0.7697589634780185,0.4148038697692635,Inf,-1.8557178936305498,0.4298230232515985,no
NorthDelta - SuisunBay,-0.16577115027054756,0.4064019817983316,Inf,-0.40789946332694804,0.9985577029247009,no
NorthDelta - SuisunMarsh,-0.5951063096120509,0.5248735690128201,Inf,-1.1338088727373417,0.8673988536407752,no
SacRiver - South,-0.356380353869016,0.23266070433935243,Inf,-1.5317599715902586,0.6436431607175145,no
SacRiver - SuisunBay,0.24760745933845496,0.21732755522239403,Inf,1.139328416431479,0.8649993408197492,no
SacRiver - SuisunMarsh,-0.1817277000030484,0.39693960990692995,Inf,-0.457822035058829,0.9974911139614875,no
SanJoaquin - South,0.5757118445479766,0.24900712456708415,Inf,2.3120296077828733,0.18904154049551058,no
SanJoaquin - SuisunMarsh,0.7503644984139443,0.40674102756769276,Inf,1.8448212684643996,0.43676251410435984,no
South - SuisunBay,0.603987813207471,0.24903613594278418,Inf,2.4253018981399417,0.14744124946996406,no
South - SuisunMarsh,0.17465265386596762,0.4151541563520412,Inf,0.42069349708705833,0.9983266346621259,no
SuisunBay - SuisunMarsh,-0.42933515934150335,0.4067592691391703,Inf,-1.0555018457234193,0.8988249636648585,no
NorthDelta - SanJoaquin,-1.3454708080259952,0.4063841492034826,Inf,-3.3108348607177045,0.011973297101423697,yes
SacRiver - SanJoaquin,-0.9320921984169926,0.21729396704294265,Inf,-4.289544763259756,2.5872798692161414e-4,yes
SanJoaquin - SuisunBay,1.1796996577554477,0.23474515499711476,Inf,5.025448375153674,7.45383512956721e-6,yes
fWY2000 - fWY2001,0.15782041653069329,0.10304371909730144,Inf,1.5315869604984624,0.9936991033758558,no
fWY2000 - fWY2002,0.07423184667360465,0.10198708108383199,Inf,0.7278553899644121,0.9999999182566464,no
fWY2000 - fWY2003,0.008827778497386604,0.10093968837459519,Inf,0.08745597137793826,1,no
