contrast,estimate,SE,df,z.ratio,p.value,Sig
fWY2000 - fWY2001,0.08739970166260948,0.10398002293065317,Inf,0.8405432043508827,0.9999990629654933,no
fWY2000 - fWY2002,0.06020099333762355,0.10291375772091894,Inf,0.5849654572022949,0.999999998233765,no
fWY2000 - fWY2003,0.08854156115123192,0.10185703796249296,Inf,0.8692728840577101,0.9999983645691932,no
fWY2000 - fWY2004,-0.12150343459569116,0.10193227517325218,Inf,-1.1920015950705924,0.9997761939509441,no
fWY2000 - fWY2009,0.15691537967127447,0.10283322893794507,Inf,1.5259209624348702,0.9939734972497494,no
fWY2000 - fWY2013,-0.0911685837762991,0.10185703796249294,Inf,-0.8950641565865123,0.9999973566343338,no
fWY2000 - fWY2018,0.15850266699818905,0.10297338430975261,Inf,1.539258596390303,0.9933110354482223,no
fWY2001 - fWY2002,-0.02719870832498593,0.10011032833574735,Inf,-0.271687335134569,1,no
fWY2001 - fWY2003,0.0011418594886224431,0.09902392911630747,Inf,0.011531147055185868,1,no
fWY2001 - fWY2004,-0.20890313625830065,0.09911117802549137,Inf,-2.1077656468231143,0.8534184109149181,no
fWY2001 - fWY2007,0.31423933940136234,0.10015591995132875,Inf,3.1375014033525774,0.16480090359346955,no
fWY2001 - fWY2008,0.3297650478944156,0.09902392911630747,Inf,3.330155153782008,0.0968682819343164,no
fWY2001 - fWY2009,0.069515678008665,0.10002751298214294,Inf,0.6949655743322843,0.9999999632579699,no
fWY2001 - fWY2013,-0.17856828543890857,0.09902392911630747,Inf,-1.8032841862816122,0.9622731693584659,no
fWY2001 - fWY2018,0.07110296533557957,0.10015756857821467,Inf,0.7099110565973266,0.9999999468689243,no
fWY2002 - fWY2003,0.028340567813608372,0.09776963570044765,Inf,0.2898708541825794,1,no
fWY2002 - fWY2004,-0.1817044279333147,0.09785734027010914,Inf,-1.856829824229516,0.9499637679365278,no
fWY2002 - fWY2007,0.3414380477263482,0.09890944821133818,Inf,3.4520266152612966,0.06702307610658031,no
fWY2002 - fWY2009,0.09671438633365093,0.09890335183054413,Inf,0.9778676308094829,0.9999889998080591,no
fWY2002 - fWY2013,-0.15136957711392265,0.09776963570044762,Inf,-1.5482268705357325,0.9928323490761357,no
fWY2002 - fWY2018,0.0983016736605655,0.09891076156901642,Inf,0.9938420461152154,0.9999857854700236,no
fWY2003 - fWY2004,-0.2100449957469231,0.09661025034824344,Inf,-2.1741481363498205,0.8164970787911034,no
fWY2003 - fWY2007,0.3130974799127399,0.09766974115428621,Inf,3.205675332118966,0.13755619990597046,no
fWY2003 - fWY2008,0.32862318840579313,0.09652191953959642,Inf,3.4046482910131233,0.07756284391421764,no
fWY2003 - fWY2009,0.06837381852004255,0.0976743943478025,Inf,0.7000178396456147,0.9999999583354702,no
fWY2003 - fWY2013,-0.179710144927531,0.09652191953959642,Inf,-1.861858381854995,0.9486728981596083,no
fWY2003 - fWY2018,0.06996110584695713,0.09767071412823207,Inf,0.7162956314121453,0.9999999379758178,no
fWY2004 - fWY2009,0.27841881426696563,0.09776214599681851,Inf,2.84792044434076,0.3229885078553153,no
fWY2004 - fWY2013,0.03033485081939205,0.09661025034824343,Inf,0.31399205270710284,1,no
fWY2004 - fWY2014,-0.27763616367335153,0.09661025034824341,Inf,-2.8737754293418987,0.3061261127516208,no
fWY2004 - fWY2018,0.2800061015938802,0.09775846178609836,Inf,2.8642646015293396,0.3122713188646291,no
fWY2005 - fWY2006,0.19855072463769163,0.09652191953959643,Inf,2.0570532122109286,0.8784420774180427,no
