WY,Species,LifeStage,Tolerance_Upper,daysExceedanceTol,daysExceedanceOpt,Suboptimum_Upper
2010,Asian Clam,Undifferentiated,37,64,64,30
2011,Asian Clam,Undifferentiated,37,70,70,30
2012,Asian Clam,Undifferentiated,37,61,61,30
2013,Asian Clam,Undifferentiated,37,56,59,30
2014,Asian Clam,Undifferentiated,37,51,51,30
2015,Asian Clam,Undifferentiated,37,22,22,30
2016,Asian Clam,Undifferentiated,37,48,48,30
2017,Asian Clam,Undifferentiated,37,74,74,30
2018,Asian Clam,Undifferentiated,37,34,34,30
2019,Asian Clam,Undifferentiated,37,41,41,30
2010,Brazilian Waterweed,Undifferentiated,30,64,64,30
2011,Brazilian Waterweed,Undifferentiated,30,70,70,30
2012,Brazilian Waterweed,Undifferentiated,30,61,61,30
2013,Brazilian Waterweed,Undifferentiated,30,59,59,30
2014,Brazilian Waterweed,Undifferentiated,30,51,51,30
2015,Brazilian Waterweed,Undifferentiated,30,22,22,30
2016,Brazilian Waterweed,Undifferentiated,30,48,48,30
2017,Brazilian Waterweed,Undifferentiated,30,74,74,30
2018,Brazilian Waterweed,Undifferentiated,30,34,34,30
2019,Brazilian Waterweed,Undifferentiated,30,41,41,30
2010,Chinook Salmon,Adult,26,64,173,21
2011,Chinook Salmon,Adult,26,47,150,21
2012,Chinook Salmon,Adult,26,60,173,21
2013,Chinook Salmon,Adult,26,50,186,21
2014,Chinook Salmon,Adult,26,42,200,21
2015,Chinook Salmon,Adult,26,21,174,21
2016,Chinook Salmon,Adult,26,40,173,21
2017,Chinook Salmon,Adult,26,56,158,21
2018,Chinook Salmon,Adult,26,21,125,21
2019,Chinook Salmon,Adult,26,36,148,21
2010,Chinook Salmon,Juvenile,28,64,201,20
2011,Chinook Salmon,Juvenile,28,70,215,20
2012,Chinook Salmon,Juvenile,28,66,234,20
2013,Chinook Salmon,Juvenile,28,66,246,20
2014,Chinook Salmon,Juvenile,28,59,229,20
2015,Chinook Salmon,Juvenile,28,24,222,20
2016,Chinook Salmon,Juvenile,28,58,244,20
2017,Chinook Salmon,Juvenile,28,74,237,20
2018,Chinook Salmon,Juvenile,28,42,192,20
2019,Chinook Salmon,Juvenile,28,41,207,20
2010,Chinook Salmon,Larvae,29,64,203,16
2011,Chinook Salmon,Larvae,29,69,195,16
2012,Chinook Salmon,Larvae,29,60,190,16
2013,Chinook Salmon,Larvae,29,57,210,16
2014,Chinook Salmon,Larvae,29,50,206,16
2015,Chinook Salmon,Larvae,29,22,196,16
2016,Chinook Salmon,Larvae,29,45,210,16
2017,Chinook Salmon,Larvae,29,74,220,16
2018,Chinook Salmon,Larvae,29,27,167,16
2019,Chinook Salmon,Larvae,29,40,179,16
2010,Delta Smelt,Adult,28.5,64,184,22
2011,Delta Smelt,Adult,28.5,70,183,22
2012,Delta Smelt,Adult,28.5,61,202,22
2013,Delta Smelt,Adult,28.5,62,197,22
2014,Delta Smelt,Adult,28.5,55,201,22
2015,Delta Smelt,Adult,28.5,22,171,22
2016,Delta Smelt,Adult,28.5,53,196,22
2017,Delta Smelt,Adult,28.5,74,195,22
2018,Delta Smelt,Adult,28.5,34,154,22
2019,Delta Smelt,Adult,28.5,41,168,22
2010,Delta Smelt,Juvenile,29,64,184,22
2011,Delta Smelt,Juvenile,29,69,178,22
2012,Delta Smelt,Juvenile,29,61,201,22
2013,Delta Smelt,Juvenile,29,62,191,22
2014,Delta Smelt,Juvenile,29,50,200,22
2015,Delta Smelt,Juvenile,29,22,163,22
2016,Delta Smelt,Juvenile,29,48,180,22
2017,Delta Smelt,Juvenile,29,74,194,22
2018,Delta Smelt,Juvenile,29,27,147,22
2019,Delta Smelt,Juvenile,29,41,164,22
2010,Delta Smelt,Larvae,29,33,131,23
2011,Delta Smelt,Larvae,29,59,160,23
2012,Delta Smelt,Larvae,29,32,148,23
2013,Delta Smelt,Larvae,29,46,160,23
2014,Delta Smelt,Larvae,29,24,154,23
2015,Delta Smelt,Larvae,29,19,149,23
2016,Delta Smelt,Larvae,29,25,144,23
2017,Delta Smelt,Larvae,29,53,160,23
2018,Delta Smelt,Larvae,29,9,109,23
2019,Delta Smelt,Larvae,29,37,145,23
2010,Giant Reed EAV,Undifferentiated,32,64,64,30
2011,Giant Reed EAV,Undifferentiated,32,70,70,30
2012,Giant Reed EAV,Undifferentiated,32,61,61,30
2013,Giant Reed EAV,Undifferentiated,32,56,59,30
2014,Giant Reed EAV,Undifferentiated,32,51,51,30
2015,Giant Reed EAV,Undifferentiated,32,22,22,30
2016,Giant Reed EAV,Undifferentiated,32,48,48,30
2017,Giant Reed EAV,Undifferentiated,32,74,74,30
2018,Giant Reed EAV,Undifferentiated,32,34,34,30
2019,Giant Reed EAV,Undifferentiated,32,41,41,30
2010,Green Sturgeon,Juvenile,34,60,182,21
2011,Green Sturgeon,Juvenile,34,53,180,21
2012,Green Sturgeon,Juvenile,34,60,213,21
2013,Green Sturgeon,Juvenile,34,51,201,21
2014,Green Sturgeon,Juvenile,34,50,207,21
2015,Green Sturgeon,Juvenile,34,21,189,21
2016,Green Sturgeon,Juvenile,34,42,208,21
2017,Green Sturgeon,Juvenile,34,45,169,21
2018,Green Sturgeon,Juvenile,34,29,164,21
2019,Green Sturgeon,Juvenile,34,33,166,21
2010,Hitch,Adult,38,64,64,29
2011,Hitch,Adult,38,69,69,29
2012,Hitch,Adult,38,61,61,29
2013,Hitch,Adult,38,56,57,29
2014,Hitch,Adult,38,50,50,29
2015,Hitch,Adult,38,22,22,29
2016,Hitch,Adult,38,46,46,29
2017,Hitch,Adult,38,74,74,29
2018,Hitch,Adult,38,27,27,29
2019,Hitch,Adult,38,41,41,29
2010,Largemouth Bass,Adult,35,64,NA,NA
2011,Largemouth Bass,Adult,35,70,NA,NA
2012,Largemouth Bass,Adult,35,61,NA,NA
2013,Largemouth Bass,Adult,35,56,NA,NA
