Stress,Region,Station,WY,fWY,nDays,totalDays,propDays
High,Central,BAC,2010,2010,113,358,0.316
High,Central,BAC,2011,2011,114,362,0.315
High,Central,BAC,2012,2012,85,339,0.251
High,Central,BAC,2013,2013,139,363,0.383
High,Central,BAC,2014,2014,139,365,0.381
High,Central,BAC,2015,2015,151,363,0.416
High,Central,BAC,2016,2016,150,364,0.412
High,Central,BAC,2017,2017,111,357,0.311
High,Central,BAC,2018,2018,134,365,0.367
High,Central,BAC,2019,2019,130,363,0.358
High,Central,BET,2010,2010,104,364,0.286
High,Central,BET,2011,2011,115,363,0.317
High,Central,BET,2012,2012,107,362,0.296
High,Central,BET,2013,2013,120,360,0.333
High,Central,BET,2014,2014,137,365,0.375
High,Central,BET,2015,2015,137,363,0.377
High,Central,BET,2016,2016,121,357,0.339
High,Central,BET,2017,2017,116,357,0.325
High,Central,BET,2018,2018,125,365,0.342
High,Central,BET,2019,2019,107,338,0.317
High,Central,CLC,2010,2010,119,358,0.332
High,Central,CLC,2011,2011,126,363,0.347
High,Central,CLC,2012,2012,146,364,0.401
High,Central,CLC,2013,2013,130,360,0.361
High,Central,CLC,2014,2014,141,364,0.387
High,Central,CLC,2015,2015,152,361,0.421
High,Central,CLC,2016,2016,151,364,0.415
High,Central,CLC,2017,2017,113,364,0.31
High,Central,CLC,2018,2018,119,361,0.33
High,Central,CLC,2019,2019,123,342,0.36
High,Central,DSJ,2011,2011,112,363,0.309
High,Central,DSJ,2012,2012,105,355,0.296
High,Central,DSJ,2013,2013,113,349,0.324
High,Central,DSJ,2014,2014,138,365,0.378
High,Central,DSJ,2015,2015,134,359,0.373
High,Central,DSJ,2016,2016,126,365,0.345
High,Central,DSJ,2017,2017,110,357,0.308
High,Central,DSJ,2018,2018,115,363,0.317
High,Central,DSJ,2019,2019,122,363,0.336
High,Central,FRP,2010,2010,117,363,0.322
High,Central,FRP,2011,2011,113,363,0.311
High,Central,FRP,2012,2012,118,355,0.332
High,Central,FRP,2013,2013,129,357,0.361
High,Central,FRP,2014,2014,139,365,0.381
High,Central,FRP,2015,2015,142,355,0.4
High,Central,FRP,2016,2016,138,364,0.379
High,Central,FRP,2017,2017,124,365,0.34
High,Central,FRP,2018,2018,123,364,0.338
High,Central,FRP,2019,2019,119,357,0.333
High,Central,HLL,2010,2010,115,365,0.315
High,Central,HLL,2011,2011,113,363,0.311
High,Central,HLL,2012,2012,115,363,0.317
High,Central,HLL,2013,2013,129,361,0.357
High,Central,HLL,2014,2014,141,362,0.39
High,Central,HLL,2015,2015,145,363,0.399
High,Central,HLL,2016,2016,140,356,0.393
