Stress,Region,Station,WY,fWY,nDays,totalDays,propDays
High,Central,BAC,2010,2010,2,358,0.006
High,Central,BAC,2011,2011,10,362,0.028
High,Central,BAC,2012,2012,0,339,0
High,Central,BAC,2013,2013,12,363,0.033
High,Central,BAC,2014,2014,28,365,0.077
High,Central,BAC,2015,2015,42,363,0.116
High,Central,BAC,2016,2016,25,364,0.069
High,Central,BAC,2017,2017,54,357,0.151
High,Central,BAC,2018,2018,36,365,0.099
High,Central,BAC,2019,2019,59,363,0.163
High,Central,BET,2010,2010,0,364,0
High,Central,BET,2011,2011,5,363,0.014
High,Central,BET,2012,2012,0,362,0
High,Central,BET,2013,2013,8,360,0.022
High,Central,BET,2014,2014,4,365,0.011
High,Central,BET,2015,2015,11,363,0.03
High,Central,BET,2016,2016,4,357,0.011
High,Central,BET,2017,2017,19,357,0.053
High,Central,BET,2018,2018,0,365,0
High,Central,BET,2019,2019,10,338,0.03
High,Central,CLC,2010,2010,23,358,0.064
High,Central,CLC,2011,2011,36,363,0.099
High,Central,CLC,2012,2012,25,364,0.069
High,Central,CLC,2013,2013,34,360,0.094
High,Central,CLC,2014,2014,77,364,0.212
High,Central,CLC,2015,2015,60,361,0.166
High,Central,CLC,2016,2016,36,364,0.099
High,Central,CLC,2017,2017,45,364,0.124
High,Central,CLC,2018,2018,51,361,0.141
High,Central,CLC,2019,2019,54,342,0.158
High,Central,DSJ,2011,2011,5,363,0.014
High,Central,DSJ,2012,2012,0,355,0
High,Central,DSJ,2013,2013,7,349,0.02
High,Central,DSJ,2014,2014,0,365,0
High,Central,DSJ,2015,2015,3,359,0.008
High,Central,DSJ,2016,2016,10,365,0.027
High,Central,DSJ,2017,2017,16,357,0.045
High,Central,DSJ,2018,2018,0,363,0
High,Central,DSJ,2019,2019,14,363,0.039
High,Central,FRP,2010,2010,0,363,0
High,Central,FRP,2011,2011,6,363,0.017
High,Central,FRP,2012,2012,0,355,0
High,Central,FRP,2013,2013,8,357,0.022
High,Central,FRP,2014,2014,5,365,0.014
High,Central,FRP,2015,2015,9,355,0.025
High,Central,FRP,2016,2016,10,364,0.027
High,Central,FRP,2017,2017,22,365,0.06
High,Central,FRP,2018,2018,0,364,0
High,Central,FRP,2019,2019,28,357,0.078
High,Central,HLL,2010,2010,0,365,0
High,Central,HLL,2011,2011,5,363,0.014
High,Central,HLL,2012,2012,1,363,0.003
High,Central,HLL,2013,2013,7,361,0.019
High,Central,HLL,2014,2014,17,362,0.047
High,Central,HLL,2015,2015,19,363,0.052
High,Central,HLL,2016,2016,5,356,0.014
High,Central,HLL,2017,2017,30,363,0.083
High,Central,HLL,2018,2018,0,344,0
High,Central,HLL,2019,2019,28,362,0.077
High,Central,HLT,2010,2010,0,355,0
High,Central,HLT,2011,2011,0,355,0
High,Central,HLT,2012,2012,0,360,0
High,Central,HLT,2013,2013,14,360,0.039
High,Central,HLT,2014,2014,11,365,0.03
High,Central,HLT,2015,2015,16,355,0.045
High,Central,HLT,2016,2016,5,364,0.014
High,Central,HLT,2017,2017,32,360,0.089
High,Central,HLT,2018,2018,2,345,0.006
High,Central,HLT,2019,2019,27,337,0.08
High,Central,HOL,2010,2010,0,365,0
High,Central,HOL,2011,2011,4,358,0.011
High,Central,HOL,2012,2012,1,360,0.003
High,Central,HOL,2013,2013,7,360,0.019
High,Central,HOL,2014,2014,16,365,0.044
High,Central,HOL,2015,2015,16,357,0.045
High,Central,HOL,2016,2016,5,362,0.014
High,Central,HOL,2017,2017,31,361,0.086
High,Central,HOL,2018,2018,0,350,0
