"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",12.8693869747775,1.03879388481943,10.1026493776576,12.3887781424652,1.95838525305087e-07
"fWY2011",-0.341837209741351,0.0543216585633909,8537.85709389985,-6.29283454853357,3.2706936843716e-10
"fWY2012",0.077313771163737,0.0539156599839554,8539.69759336517,1.43397616178202,0.151615679482498
"fWY2013",0.768956978388793,0.0541168673312944,8541.16379657655,14.2091923703079,2.63142225768949e-45
"fWY2014",1.06446342688676,0.0539257641404156,8539.50772915512,19.739422219684,7.55828673911178e-85
"fWY2015",1.89681389255976,0.0540927038740468,8541.29972314563,35.0659840738676,8.51701193884885e-252
"fWY2016",1.14541190341443,0.0539290178324297,8539.76401260299,21.2392502117042,1.34345205613814e-97
"fWY2017",0.358336120871836,0.0540502522404307,8537.96957660701,6.62968452539049,3.56819970066573e-11
"fWY2018",0.612869721568512,0.0541331846707578,8541.73866416572,11.3215160958298,1.66523850092369e-29
"fWY2019",0.381147377574309,0.0546077195218086,8543.92458781527,6.97973438392884,3.17816951422508e-12
"SeasonDry",8.58400160578094,1.60566187408053,10.0118272280143,5.34608297322655,0.000324109866946016
"Region2Confluence",-0.478296191252818,0.090833400249006,82.3391078658572,-5.26564226310632,1.09324784212105e-06
"Region2NorthDelta",-0.749866992399237,0.118554834268872,83.9072117215254,-6.32506465909779,1.17659229228329e-08
"Region2South",-0.246730026855487,0.103143597316377,82.0587642119725,-2.39210220774714,0.0190377241464738
"Region2SuisunBay",-0.370836612829954,0.123345153566071,81.1877416253978,-3.00649520559648,0.0035161877161656
"Region2SuisunMarsh",-0.565339611137246,0.109343364503495,82.2420128392615,-5.1703147575926,1.61196597894382e-06
"SeasonDry:Region2Confluence",-0.833678500819788,0.0637089733787217,8507.91590778472,-13.0857312024782,9.39069899258527e-39
"SeasonDry:Region2NorthDelta",-0.644519137149696,0.0845554564506188,8507.91733350155,-7.62244288192213,2.75683184254901e-14
"SeasonDry:Region2South",-0.470989350065726,0.072150632407068,8507.93033779044,-6.52786170200757,7.05334797378897e-11
"SeasonDry:Region2SuisunBay",-1.97889956529953,0.085392069668309,8507.90755217775,-23.1742780446267,2.9097457876327e-115
"SeasonDry:Region2SuisunMarsh",-1.49142576600772,0.0766066809842607,8507.93635441326,-19.4686122260557,1.25001781960092e-82
