Species,Taxon,LifeStage,Length_mm,Length_type,Maximum Field Detection Temperature (°C),Suboptimum Threshold Range (°C),Tolerance Threshold Range (°C),outputSuboptimum,outputSuboptimumUpper,outputTolerance,outputToleranceUpper
Green Sturgeon,Acipenser medirostris,Juvenile,>19 & <=1500,TL,28.5,20-21,30-34,208 (184-235),188 (164-213),45 (21-60),44 (21-60)
White Sturgeon,Acipenser transmontanus,Juvenile,>=100 & <=1450,TL/FL,26.7,21-24,31-31,196 (169-218),141 (122-170),46 (21-61),46 (21-61)
White Sturgeon,Acipenser transmontanus,Larvae,<100,TL,24.8,20-20,27-32,206 (173-223),206 (173-223),45 (17-67),43 (17-66)
Giant Reed EAV,Arundo donax,Undifferentiated,NA,NA,NA,30-30,32-32,52 (22-74),52 (22-74),52 (22-74),52 (22-74)
Sacramento Sucker,Catostomus occidentalis,Adult,>=200,SL,32.1,20-20,30-30,221 (191-244),221 (191-244),52 (22-74),52 (22-74)
Asian Clam,"Corbicula spp. (manilensis, fluminea)",Undifferentiated,NA,NA,NA,30-30,37-37,52 (22-74),52 (22-74),52 (22-74),52 (22-74)
Prickly Sculpin,Cottus asper,Adult,>=40,SL,32.1,22-24,NA,185 (154-202),147 (126-171),NA,NA
Brazilian Waterweed,Egeria densa,Undifferentiated,NA,NA,NA,26-30,20-30,93 (76-119),52 (22-74),223 (192-246),52 (22-74)
Water Hyacinth FAV,Eichhornia crassipes,Undifferentiated,NA,NA,NA,30-30,34-34,52 (22-74),52 (22-74),52 (22-74),52 (22-74)
Threespine Stickleback,Gasterosteus aculeatus,Adult,>=41,SL,26,NA,26-29,NA,NA,60 (39-83),52 (22-74)
Threespine Stickleback,Gasterosteus aculeatus,Juvenile-Larvae,NA,NA,32.1,NA,25-29,NA,NA,72 (43-95),52 (22-74)
Wakasagi,Hypomesus nipponensis,Juvenile,>=25 & <=73,FL,25.6,NA,29.1-29.1,NA,NA,48 (16-74),48 (16-74)
Delta Smelt,Hypomesus transpacificus,Adult,>50,FL,27.8,19-22,26.5-28.5,239 (208-266),185 (154-202),80 (54-104),54 (22-74)
Delta Smelt,Hypomesus transpacificus,Juvenile,>=25 & <=50,FL,27.8,20-22,27-29,218 (185-240),180 (147-201),68 (46-86),52 (22-74)
Delta Smelt,Hypomesus transpacificus,Larvae,<25,FL,27.8,20-23,27.6-29,190 (165-212),146 (109-160),41 (21-59),34 (9-59)
Tule Perch,Hysterocarpus traskii,Adult,>=100,SL,32.1,21-21,34-34,201 (173-220),201 (173-220),52 (21-74),52 (21-74)
Hitch,Lavinia exilicauda,Adult,>=150,FL,25,29-29,38-38,51 (22-74),51 (22-74),51 (22-74),51 (22-74)
Mississippi Silverside,Menidia audens,Adult,>=80,TL,28.8,NA,31-31,NA,NA,52 (22-74),52 (22-74)
Mississippi Silverside,Menidia audens,Juvenile,>=4.5 & <=80,TL,31.1,26-26,35-35,93 (76-119),93 (76-119),52 (22-74),52 (22-74)
Microcystis,Microcystis spp.,Undifferentiated,NA,NA,NA,25-25,36-36,76 (24-107),76 (24-107),19 (3-31),19 (3-31)
Largemouth Bass,Micropterus salmoides,Adult,>190,TL,28.3,NA,33-35,NA,NA,52 (22-74),52 (22-74)
Largemouth Bass,Micropterus salmoides,Juvenile,>=8.5 & <=190,TL,30,27-29,33-40,69 (43-87),53 (22-74),52 (22-74),52 (22-74)
Striped Bass,Morone saxatilis,Adult,>350,FL,28.3,24-24,28-28,147 (126-171),147 (126-171),56 (24-74),56 (24-74)
