Station,Tempmean,Tempmax,TempMin
ANC,16.7,25.2,6.7
ANH,16.6,25.2,6.6
BAC,17.4,27.7,5.9
BDL,16.7,26.1,5.3
BDT,17.2,29.5,5.8
BET,17.2,26.9,6
BKS,16.7,27.8,6.1
BLL,16.6,30.2,4.1
BLP,16.8,27.2,4.6
CLC,17.9,28.6,6.7
CLL,16.2,24.3,6.6
CSE,16.3,24.7,6.5
CYG,16.7,27,5.2
DGL,17.2,30.9,4.4
DLC,16.7,27.2,6.1
DSJ,17.3,27,5.7
DWS,16.7,25.9,6.2
EMM,16.4,25.1,6.4
FAL,16.8,25.6,6.3
FRP,17.4,26.9,5.8
GCT,17.3,29.6,6.2
GES,16.3,26.1,6.2
GLC,17.3,28.9,6.2
GSS,16.3,26.1,6.1
GYS,16.8,28.4,4.3
HLL,17.4,27.7,6
HLT,17.5,26.3,6.8
HOL,17.4,27.8,6
HUN,16.6,25.8,6.3
HWB,16.2,26.3,6.1
IBS,16.9,27.9,5.5
JER,16.9,25.4,6.6
LIS,17.6,30.8,4.4
LPS,16.9,26.7,6.2
MAL,16.3,24.2,6.9
MDM,17.8,27.3,6.4
MHO,17.2,30.3,4.4
MOK,16.2,26,6.4
MRZ,16.1,25.2,6.8
MSD,17.3,31.2,6.2
MSL,16.3,25.1,6.2
MTB,17.3,28.6,4.8
MUP,17.7,27.7,6.3
NSL,16.1,25.3,4.7
OBI,17.6,27.1,6.2
ODM,17.4,27.8,5.6
OH4,17.7,27.9,6.3
OLD,17.3,30.2,5
ORI,17.8,27.9,6.5
ORQ,17.4,26.4,6.4
OSJ,16.9,26.1,7.4
PCT,16.3,24.5,6.7
PPT,17.1,26.1,6.6
PRI,17.1,25.8,6.7
PTS,16.5,26.8,6.8
RIV,16.4,25.2,6.5
RRI,18,28.8,6.4
RVB,16.4,25.3,6.2
SAL,16.7,25.9,6.7
SDI,16.3,24.9,6.4
SJG,17.5,29.9,6.4
SJL,17.3,30.4,5.7
SJR,16.8,32,5.6
SNC,16.7,28.3,4.1
SRH,16.2,26.4,6.1
SRV,16.4,25.1,6.4
STI,16.7,26.5,6.5
TEA,16.9,29.6,4.1
TMS,16.4,25.2,5.9
TRN,17.5,27.1,6.7
TSL,16.7,25.2,6.7
UNI,17.2,30.6,3.2
VCU,17.6,28.3,6.4
VIC,17.7,28.1,6.3
VOL,16.8,27.2,6.1
