Common_name,Taxon,Assigned_life_stage,Length_mm,Length_type,Notes_life_stage_designation,Reference
Chinook Salmon,Oncorhynchus tshawytscha,Larvae,<35,FL,Fry size (probably Fork Length),Quinn 2005 as cited by DRERIP Salmon & Steelhead CM 2010
Chinook Salmon,Oncorhynchus tshawytscha,Juvenile,>=35 & <=750,SL/FL,Process of elimination,NA
Chinook Salmon,Oncorhynchus tshawytscha,Adult,>750,SL,Spawning adults… typically 75-80 cm SL,Moyle 2002 pg. 252
Delta Smelt,Hypomesus transpacificus,Larvae,<25,FL,Includes range designated up to post-larvae,Bennett 2005
Delta Smelt,Hypomesus transpacificus,Juvenile,>=25 & <=50,FL,Range of 25-50 mm (probably FL) designated as Juvenile stage,Bennett 2005
Delta Smelt,Hypomesus transpacificus,Adult,>50,FL,Range of 50-80 mm FL designated as adult length,Bennett 2005
Green Sturgeon,Acipenser medirostris,Larvae,<=19,TL,Stated range,Moyle 2002 pg. 111
Green Sturgeon,Acipenser medirostris,Juvenile,>19 & <=1500,TL,Stated range,Moyle 2002 pg. 111
Green Sturgeon,Acipenser medirostris,Adult,>1500,TL,Greater than juvenile range,Moyle 2002 pg. 111
Hitch             ,Lavinia exilicauda,Juvenile/Larvae,<150,FL,Less than length at maturity,NA
Hitch             ,Lavinia exilicauda,Adult,>=150,FL,Females usually mature in their 2nd or 3rd year; males in 1st 2nd or 3rd year. Measure 150-300mm FL by end of second year.,Moyle 2002 pg 138
Largemouth Bass,Micropterus salmoides,Larvae,<8.5,TL,Size at completion of yolk-sac completion stage (6.5-8.5mm TL); this may be slightly smaller than full larval stage,Wang 1986
Largemouth Bass,Micropterus salmoides,Juvenile,>=8.5 & <=190,TL,Less than spawning length,NA
Largemouth Bass,Micropterus salmoides,Adult,>190,TL,Males spawn 18-21 cm TL; females 20-25 cm TL,Moyle 2002 pg 400
Longfin Smelt,Spirinchus thaleichthys,Larvae,<=16,SL,Larval size = 5-16 mm SL,Merz et al. 2013 as adapted from Rosenfield 2010
